epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,11570.4,1.08115,2.44304,1.37834,1.26573,0.50428,0.41315,0.38958,0.24318,0.49885,0.41605,0.36467,0.19547,0.78312,1.5004,1.19621,0.88248,0.00945055,0.00945055,0.00945055
113,11674.3,1.14925,2.56571,1.4632,1.32085,0.44509,0.44057,0.41122,0.26205,0.44505,0.41603,0.38033,0.21344,0.76206,1.43765,1.04793,0.85232,0.0094456,0.0094456,0.0094456
114,11778.3,1.12551,2.57658,1.44139,1.29661,0.49961,0.47714,0.4408,0.2745,0.48434,0.46385,0.40654,0.2144,0.76391,1.38474,1.01864,0.85451,0.00944065,0.00944065,0.00944065
115,11880.8,1.14038,2.62393,1.45262,1.32632,0.53812,0.44536,0.46904,0.29062,0.53364,0.43916,0.44081,0.23395,0.75082,1.37318,0.97565,0.84326,0.0094357,0.0094357,0.0094357
116,11984.5,1.11356,2.47959,1.41145,1.29849,0.53126,0.41133,0.41823,0.26068,0.50814,0.39761,0.38714,0.19777,0.75817,1.42124,1.10579,0.85733,0.00943075,0.00943075,0.00943075
117,12088,1.09573,2.462,1.40689,1.27685,0.4524,0.37937,0.40625,0.264,0.45314,0.37221,0.38164,0.20816,0.76366,1.45793,1.12677,0.85956,0.0094258,0.0094258,0.0094258
118,12191.2,1.12545,2.5271,1.43457,1.30552,0.50396,0.39945,0.39698,0.24387,0.48647,0.38544,0.37417,0.20201,0.78091,1.46809,1.11856,0.86889,0.00942085,0.00942085,0.00942085
119,12295.8,1.05994,2.42763,1.36828,1.24529,0.45154,0.38375,0.38336,0.23665,0.44827,0.36129,0.36357,0.20168,0.77546,1.45363,1.146,0.86348,0.0094159,0.0094159,0.0094159
120,12401.1,1.09384,2.51136,1.40339,1.28733,0.52619,0.41626,0.42162,0.26627,0.51228,0.40316,0.39998,0.21803,0.7672,1.39536,1.05223,0.85762,0.00941095,0.00941095,0.00941095
121,12503.9,1.08701,2.52668,1.40899,1.28893,0.52954,0.45131,0.45155,0.2823,0.52879,0.41791,0.41642,0.2254,0.74596,1.42453,0.98755,0.84141,0.009406,0.009406,0.009406
122,12609.2,1.1148,2.58324,1.44172,1.32949,0.49418,0.41963,0.43494,0.2721,0.47399,0.39816,0.40581,0.21916,0.75562,1.42421,1.04048,0.84592,0.00940105,0.00940105,0.00940105
123,12712.4,1.12332,2.51014,1.43193,1.30564,0.53369,0.41295,0.42539,0.26271,0.50423,0.41114,0.39859,0.20864,0.75047,1.39436,1.00457,0.84575,0.0093961,0.0093961,0.0093961
